n_cells,replicate,window_width,estimated_midpoint,error
24,13,5,18.19844149708855,-1.8015585029114511
24,13,9,17.931408577924174,-2.0685914220758264
24,14,1,19.218476712784117,-0.781523287215883
24,14,5,18.367702404651894,-1.6322975953481063
24,14,9,17.96279653743194,-2.0372034625680584
24,15,1,19.126365059422106,-0.8736349405778938
24,15,5,18.337746761520005,-1.6622532384799946
24,15,9,17.994269148270977,-2.005730851729023
24,16,1,20.05770803050546,0.05770803050545936
24,16,5,19.267305488966876,-0.7326945110331238
24,16,9,18.986332950413818,-1.0136670495861821
24,17,1,19.025713829362367,-0.9742861706376331
24,17,5,17.962010695036376,-2.0379893049636237
24,17,9,17.59947404858985,-2.400525951410149
24,18,1,19.611642891635064,-0.38835710836493575
24,18,5,18.44972221237808,-1.5502777876219191
24,18,9,18.14345694827111,-1.8565430517288917
24,19,1,19.475938632841032,-0.5240613671589678
24,19,5,18.769317454019344,-1.230682545980656
24,19,9,18.38820318749685,-1.611796812503151
24,20,1,19.173120471551414,-0.8268795284485861
24,20,5,18.45948551890191,-1.5405144810980893
24,20,9,18.243469911545315,-1.756530088454685
24,21,1,18.906388053181274,-1.0936119468187258
24,21,5,18.01146078159819,-1.9885392184018116
24,21,9,17.759028479774333,-2.240971520225667
24,22,1,19.920717655980983,-0.0792823440190169
24,22,5,18.67051161568127,-1.3294883843187293
24,22,9,18.27381819701601,-1.7261818029839908
24,23,1,19.777499407513275,-0.2225005924867247
24,23,5,18.74350830186816,-1.256491698131839
24,23,9,18.32480688327391,-1.6751931167260885
24,24,1,19.8561360588767,-0.1438639411232998
24,24,5,19.045002173863537,-0.9549978261364629
24,24,9,18.66574527701095,-1.3342547229890513
24,25,1,19.984202275614848,-0.015797724385151923
24,25,5,18.76289210050025,-1.237107899499751
24,25,9,18.283366826184412,-1.7166331738155876
24,26,1,19.737426186596036,-0.26257381340396435
24,26,5,18.753451968007397,-1.246548031992603
24,26,9,18.360473516839605,-1.6395264831603953
24,27,1,19.557709271353026,-0.4422907286469737
24,27,5,18.33414081757362,-1.6658591824263809
24,27,9,17.978183110509537,-2.021816889490463
24,28,1,19.098095843222808,-0.9019041567771922
24,28,5,18.140612339059473,-1.859387660940527
24,28,9,17.828907291287813,-2.1710927087121874
24,29,1,19.49871401999198,-0.5012859800080207
24,29,5,18.57973515434259,-1.4202648456574103
24,29,9,18.221286888869578,-1.778713111130422
24,30,1,19.525326390490857,-0.47467360950914284
24,30,5,18.501364781793892,-1.4986352182061076
24,30,9,18.03457046609843,-1.9654295339015704
24,31,1,19.110508220250946,-0.8894917797490542
24,31,5,17.88877878995147,-2.11122121004853
24,31,9,17.547580737250097,-2.4524192627499026
24,32,1,19.479925031211213,-0.5200749687887871
24,32,5,18.701506121569054,-1.2984938784309463
24,32,9,18.32557644119947,-1.6744235588005303
24,33,1,19.394443249731925,-0.6055567502680752
24,33,5,18.402065182442538,-1.5979348175574621
24,33,9,18.135528716820676,-1.8644712831793235
24,34,1,19.628322591374047,-0.37167740862595267
24,34,5,18.875791938325943,-1.1242080616740573
24,34,9,18.44478848289013,-1.5552115171098713
24,35,1,19.350401376891913,-0.649598623108087
24,35,5,18.62501880065803,-1.3749811993419705
24,35,9,18.252112203197726,-1.7478877968022744
24,36,1,19.21245451531809,-0.7875454846819103
24,36,5,18.40333856700196,-1.5966614329980402
24,36,9,18.152673950136332,-1.8473260498636677
24,37,1,20.222008488837645,0.2220084888376448
24,37,5,19.480645251135442,-0.5193547488645578
24,37,9,19.24333038971853,-0.7566696102814703
24,38,1,18.969379470170896,-1.030620529829104
24,38,5,18.198099838597187,-1.8019001614028127
24,38,9,17.78245024220849,-2.2175497577915095
24,39,1,19.79553629708339,-0.20446370291660898
24,39,5,19.06227270704216,-0.9377272929578417
24,39,9,18.73395475436289,-1.266045245637109
24,40,1,19.770712633313565,-0.22928736668643523
24,40,5,18.85658150963839,-1.1434184903616114
24,40,9,18.478858899100228,-1.5211411008997722
24,41,1,19.640780290624402,-0.3592197093755978
24,41,5,18.433493705758483,-1.5665062942415169
24,41,9,18.03418261939242,-1.9658173806075787
24,42,1,18.96442373182348,-1.03557626817652
24,42,5,17.805897547691533,-2.194102452308467
24,42,9,17.488271946308373,-2.511728053691627
24,43,1,19.6140268521314,-0.3859731478686008
24,43,5,18.658377778719416,-1.3416222212805842
24,43,9,18.240494454725546,-1.759505545274454
24,44,1,19.58883739094533,-0.4111626090546707
24,44,5,18.181840906559017,-1.8181590934409826
24,44,9,17.760522192842128,-2.239477807157872
24,45,1,19.203083345769908,-0.7969166542300918
24,45,5,17.919229638161223,-2.080770361838777
24,45,9,17.508819788666553,-2.4911802113334467
24,46,1,19.105796043586178,-0.894203956413822
24,46,5,18.342351260169092,-1.6576487398309077
24,46,9,17.985033580515015,-2.014966419484985
24,47,1,19.355036189592195,-0.6449638104078055
24,47,5,18.501741883210943,-1.4982581167890565
24,47,9,18.145036583715058,-1.8549634162849422
24,48,1,18.967034660090405,-1.0329653399095946
24,48,5,18.099328144766655,-1.9006718552333446
24,48,9,17.759794470630005,-2.2402055293699945
24,49,1,19.856010144405435,-0.14398985559456534
24,49,5,19.101197901227053,-0.898802098772947
24,49,9,18.742648354509047,-1.257351645490953
24,50,1,19.36095180596063,-0.6390481940393684
24,50,5,18.428722140968933,-1.571277859031067
24,50,9,18.050973203729143,-1.9490267962708572
24,51,1,18.86536780798219,-1.1346321920178113
24,51,5,18.070673477774143,-1.9293265222258569
24,51,9,17.83649572650561,-2.1635042734943895
24,52,1,20.294886557339716,0.2948865573397157
24,52,5,18.992751466366272,-1.007248533633728
24,52,9,18.645957514628183,-1.3540424853718172
24,53,1,19.481995282786983,-0.5180047172130173
24,53,5,18.378242807508915,-1.621757192491085
24,53,9,18.033626836021032,-1.966373163978968
24,54,1,19.989398780290262,-0.010601219709737819
24,54,5,18.752625397221276,-1.2473746027787236
24,54,9,18.38415490008248,-1.6158450999175216
24,55,1,19.54645006748379,-0.4535499325162107
24,55,5,18.8113248681488,-1.1886751318511983
24,55,9,18.433282727244208,-1.5667172727557919
24,56,1,19.870718267572133,-0.12928173242786656
24,56,5,18.502262857552655,-1.4977371424473453
24,56,9,17.97223080763128,-2.0277691923687193
24,57,1,18.774046093917505,-1.2259539060824949
24,57,5,17.842992201489906,-2.1570077985100937
24,57,9,17.36072774689029,-2.6392722531097093
24,58,1,20.043772488547933,0.043772488547933364
24,58,5,19.310023800581213,-0.689976199418787
24,58,9,18.895041545715873,-1.1049584542841266
24,59,1,19.200953792210274,-0.7990462077897256
24,59,5,18.288684287883157,-1.7113157121168427
