subject,file,region,block,direction,direction_traversal,global_traversal,map_similarity,subsample_q025,subsample_q975,is_late_reference_traversal,n_cells_available,n_cells_equalized,duration_seconds,moving_speed_mean,moving_speed_median,moving_sample_fraction
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,18,36,0.44183833446445014,0.026906811898795808,0.7643852504777982,False,74,11,16.475443294118122,14.86998735754853,7.944338649860187,0.463768115942029
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,19,38,0.40554593988827525,-0.024921835424216797,0.7195320737698289,False,74,11,14.810226771241105,21.98313225515757,18.979508954915296,0.3225806451612903
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,20,40,0.48886646070512263,0.014379609045030089,0.7651387264418189,True,74,11,8.83368723809508,24.65591051920607,32.99482676137171,0.502262443438914
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,21,42,0.5043735032917587,0.15563385592036397,0.7763882545258465,True,74,11,22.588173333333543,22.573727870656246,19.380719000249744,0.558303886925795
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,22,44,0.412089367612192,0.0037829816504129656,0.8034154397773203,True,74,11,9.395428666666703,22.014381392622482,18.435408927875596,0.5147679324894515
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,23,46,0.41107624265922904,0.03104678283692709,0.7510300258272441,True,74,11,14.068294721088023,16.616676297343346,9.291315654811324,0.47592067988668557
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,24,48,0.45682086315814596,0.07708190306384964,0.6994492891484928,True,74,11,12.353689999999915,19.992259276455812,15.055868968113066,0.43870967741935485
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,25,50,0.36383887689465444,-0.06150458625464566,0.7545047129195336,True,74,11,13.39250333333348,18.699467090386978,16.43434825519579,0.4208955223880597
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,26,52,0.4113236082364478,-0.046698446799381635,0.769209893220654,True,74,11,12.876043850340466,17.927247080595848,12.552232655161513,0.47368421052631576
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,27,54,0.37766177718874466,0.049009397006269544,0.6833395324390618,True,74,11,9.256605666666474,22.5535753204808,22.41731126946185,0.4978540772532189
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,28,56,0.43571061897115115,0.06295396836209474,0.6917201888513093,True,74,11,13.592756000000008,19.689508239304658,14.036815751741571,0.4117647058823529
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,29,58,0.45322655840165044,-0.03483040480628133,0.7018782540621715,True,74,11,13.95005148299333,16.073079930423503,10.375680708493697,0.501432664756447
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,1,60,0.06580153330078325,-0.09188331763873113,0.38267891822176653,False,74,11,12.110577755101076,13.237608196360943,5.319072742519209,0.6336633663366337
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,2,62,0.07436910776654684,-0.12726447780742092,0.46638215700010577,False,74,11,11.089662588235115,14.021287718671951,8.77243524937232,0.6115107913669064
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,3,64,0.09104896395010173,-0.0529516009154302,0.5262174567157073,False,74,11,12.48319695238115,13.414116875703586,5.683185308576501,0.5987261146496815
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,4,66,0.034791342930568736,-0.08433292941856205,0.44586725432156565,False,74,11,11.905641387754258,15.326285578178261,6.828525944418624,0.5284280936454849
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,5,68,0.04806831460170492,-0.17577393491855825,0.5188432562723684,False,74,11,11.513779999999315,15.391211489836772,9.477102977869587,0.5640138408304498
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,6,70,0.09265835978984281,-0.10581224226852533,0.5303883284049139,False,74,11,11.529717830064328,13.85791444294562,6.293570992309825,0.6137931034482759
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,7,72,0.18137711048333777,-0.053629056061943396,0.5162672228538292,False,74,11,19.988873333332776,10.404592167685259,9.022548498651311,0.43912175648702595
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,8,74,0.15168730993732638,-0.018637406334740276,0.4856852496760985,False,74,11,16.531156734694378,12.895462660217811,7.052752449868525,0.463768115942029
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,9,76,0.1397171554415209,-0.01781550379842147,0.5035731876692882,False,74,11,21.56694134693862,10.85545080348125,5.0733997816375505,0.4359925788497217
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,10,78,0.21208324001043027,-0.03165655554436198,0.4629748157327444,False,74,11,10.413394997998694,15.211027960079834,9.055710777389542,0.5534351145038168
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,11,80,0.2358964997841514,0.03001926168297742,0.4641098328859159,False,74,11,22.267567333333318,11.617016372413412,6.992900574282976,0.37455197132616486
