subject,file,region,block,direction,raw_fit_status,raw_midpoint,behavior_cv_r2,behavior_ridge_alpha,adjusted_fit_status,adjusted_midpoint_usable,adjusted_low,adjusted_amplitude,adjusted_midpoint,adjusted_scale,adjusted_r_squared,adjusted_constant_aic,adjusted_sigmoid_aic,adjusted_delta_aic_sigmoid_minus_constant,adjusted_early_five_mean,adjusted_late_five_mean,adjusted_late_minus_early,adjusted_early_identity_null_q95,adjusted_early_identity_null_p,adjusted_early_spatial_null_q95,adjusted_early_spatial_null_p,adjusted_monotonic_trend_rho,adjusted_monotonic_trend_p,adjusted_n_scores
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,RSC,2,LtoR,unresolved_nonmonotonic_or_weak,26.999786247848927,-0.08569412502395601,1.0,unresolved_nonmonotonic_or_weak,False,0.06663286008509749,0.01947350339375586,9.289209632938421,0.5000000036265759,0.020733922358335377,-149.35120407006062,-143.91690505278723,5.434299017273389,0.06364001623225395,0.07698680212279163,0.013346785890537685,0.09944566238543079,0.2574850299401197,0.09402996700729238,0.18562874251497,0.006715506715506716,0.48902195608782434,27
M01,sub-M01_ses-20240318T100000_behavior+ecephys.nwb,RSC,2,RtoL,present_from_first_observed_traversals,26.999999917051056,-0.37079919356256497,1.0,present_from_first_observed_traversals,False,0.09033240349015158,1.0161124157242171e-15,26.99999877515091,8.101683909873707,-6.661338147750939e-16,-140.40354936589839,-134.40354936589836,6.000000000000028,0.1040962445969198,0.10450279639759849,0.000406551800678695,0.06583819601412054,0.0159680638722554,0.041450367006332436,0.0039920159680638,-0.13308913308913306,0.7385229540918163,27
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,LtoR,detectable_transition,6.472366086206356,-0.10525775645162971,1.0,detectable_transition,True,0.17882459086709807,0.21848102542508777,6.994528286110329,0.5000000000001135,0.6047215012897857,-90.9496066402707,-105.36923009512127,-14.419623454850566,0.1867471120769878,0.3457100053797135,0.15896289330272573,0.14894479608090283,0.0059880239520958,0.10151821232285782,0.0039920159680638,0.5302089215132695,0.00998003992015968,22
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,CA1,1,RtoL,detectable_transition,5.6494805758279645,0.35179886312960984,1.0,unresolved_nonmonotonic_or_weak,False,-0.07147199290288742,0.4061558519884801,1.0000000000025648,2.259402927348439,0.4454469066372344,-101.41594529920735,-107.79739256195516,-6.3814472627478125,0.2059972151103114,0.35140206981078437,0.14540485470047296,0.14408072830958468,0.0019960079840319,0.13061402730370608,0.0019960079840319,0.5324675324675324,0.00998003992015968,21
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,LtoR,present_from_first_observed_traversals,5.987216965350122,-0.45443285246374665,1.0,present_from_first_observed_traversals,False,0.09971819842147532,0.08354734153243831,6.266824498371946,0.7548387107998754,0.28626095464670775,-145.01965348595434,-147.787838005753,-2.768184519798666,0.09855878008731357,0.17775577795264413,0.07919699786533056,0.07399303997711872,0.0199600798403193,0.07552264900090691,0.0119760479041916,0.321025641025641,0.05389221556886228,26
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,CA1,2,RtoL,detectable_transition,6.87062948615725,-0.2760390260624388,1.0,unresolved_nonmonotonic_or_weak,False,-0.07931592755014616,0.2902065644962929,1.000000000071964,5.300513461159219,0.39872214197157263,-143.1479260158275,-150.88277539396805,-7.734849378140552,0.09118957744103504,0.20127378815106037,0.11008421071002533,0.07149605745774212,0.0119760479041916,0.09066224706934584,0.0479041916167664,0.5958485958485958,0.003992015968063872,27
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,CA3,1,LtoR,present_from_first_observed_traversals,9.179236674435623,-0.2629677164650406,1.0,present_from_first_observed_traversals,False,0.15390202254371205,0.08480678283955631,9.282264998883099,0.5000000008044119,0.18112546689761921,-102.57666248915562,-100.97279933535219,1.603863153803431,0.17290074799131644,0.21245636763898515,0.03955561964766871,0.10591795800129193,0.0019960079840319,0.09086961480429934,0.0039920159680638,0.34500282326369286,0.06786427145708583,22
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,CA3,1,RtoL,present_from_first_observed_traversals,6.185895266954716,-0.496264007876442,1.0,present_from_first_observed_traversals,False,0.2522449572183407,0.06570313811160844,6.3590518904878435,0.5000000000089168,0.08334674813707443,-96.48780003684762,-92.315346276837,4.172453760010612,0.25937639568051074,0.327624235632526,0.06824783995201528,0.12665728476721844,0.0019960079840319,0.12678931488456452,0.0019960079840319,0.18441558441558442,0.25149700598802394,21
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,CA3,2,LtoR,present_from_first_observed_traversals,2.157886501749526,-0.0643481301030977,1.0,present_from_first_observed_traversals,False,0.19046664800619872,0.12026161303964433,5.116482495272808,1.239325759211189,0.2621074742476238,-133.14933694689708,-135.05222139215616,-1.902884445259076,0.22178257106960522,0.27922396687664325,0.057441395807038026,0.13923714964953912,0.0019960079840319,0.11157374199357283,0.0019960079840319,0.23623931623931624,0.1217564870259481,26
M02,sub-M02_ses-20240318T100000_behavior+ecephys.nwb,CA3,2,RtoL,unresolved_nonmonotonic_or_weak,1.0000000000001543,-0.1624166886052536,1.0,unresolved_nonmonotonic_or_weak,False,-0.14722866731053819,0.5519575958943483,1.000000000336383,1.6421100694090895,0.5286621663961745,-127.83756124227745,-142.1464259208945,-14.308864678617056,0.2803629013608666,0.4029599441565189,0.12259704279565231,0.20329652481760943,0.0039920159680638,0.11108068762845234,0.0019960079840319,0.47741147741147744,0.007984031936127744,27
