subject,file,region,block,direction,direction_traversal,global_traversal,map_similarity,subsample_q025,subsample_q975,is_late_reference_traversal,n_cells_available,n_cells_equalized,duration_seconds,moving_speed_mean,moving_speed_median,moving_sample_fraction
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,33,66,0.38661560405915696,0.2542785107792636,0.5053063621043152,False,88,42,30.689661795918255,7.920718246010506,7.270167418394168,0.4140625
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,34,68,0.40038126105922545,0.22493346514284418,0.5217614633240969,False,88,42,20.029835333332812,7.399089602702581,6.307340396958274,0.6673306772908366
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,35,69,0.31347519501013954,0.2313885505195319,0.39217576456269204,False,88,42,65.00665466666669,6.660025677658359,5.959319870607898,0.24661746617466174
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,36,71,0.3490236442228032,0.196752260907052,0.4615379838423434,False,88,42,22.90155647058782,9.300321124446192,8.343004260235286,0.4363001745200698
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,37,72,0.4305364792177666,0.3403989066046808,0.5056542477489985,True,88,42,62.16303451700696,5.940765795673891,5.979908294344002,0.26302250803858523
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,38,74,0.5103886574685172,0.41599818788502296,0.5866166323598794,True,88,42,27.07698520741542,7.959862425337769,7.8185817475502715,0.4401772525849335
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,39,76,0.5141987546000355,0.42251947212306273,0.585795666358248,True,88,42,24.515832217687603,7.152242612370245,6.741793418268,0.5325732899022801
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,40,78,0.47705696643668827,0.37489631641369975,0.5700634234603453,True,88,42,35.98269999999957,7.779233049357096,7.328273593591156,0.32666666666666666
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,41,79,0.44051789804995645,0.3421793654817849,0.5261587725555474,True,88,42,31.144346666666934,7.533605038035998,7.436653907010523,0.39871794871794874
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,42,81,0.46312678893503845,0.3748314207213811,0.5259267098179758,True,88,42,33.215455238095274,8.305871902322467,8.049811432549255,0.3561973525872443
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,43,83,0.28860116779065137,0.17497621579131806,0.3862761480955925,True,88,42,34.751778524742804,6.7150593543756205,7.016722899630287,0.3781609195402299
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,44,84,0.4571400278685598,0.3458648738293365,0.5426455871496231,True,88,42,79.6795313333323,5.990273513840871,5.260833643554489,0.17611640742599097
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,45,86,0.4829581847435006,0.3769408577715253,0.5667455648664077,True,88,42,96.5807694771238,7.1321471275524475,6.482314153473107,0.1308488612836439
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA1,1,RtoL,46,88,0.4455578543533454,0.3353899596986299,0.5432630654784201,True,88,42,38.50007000000005,5.657111314021333,5.481159987930175,0.43406022845275183
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,1,1,-0.005813874573313133,-0.005813874573313145,-0.0058138745733131185,False,42,42,16.02928399999928,9.020647696125794,9.569609697825523,0.5785536159600998
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,2,3,0.043417327554740585,0.04341732755474056,0.04341732755474061,False,42,42,31.23734755555506,8.493055056741653,7.607867654371692,0.3132992327365729
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,3,5,-0.027965437457675654,-0.027965437457675678,-0.02796543745767563,False,42,42,21.228903999999602,7.569073532678625,7.2992679437264565,0.5526315789473685
M03,sub-M03_ses-20240622T100000_behavior+ecephys.nwb,CA3,1,LtoR,4,7,0.05798305932513723,0.057983059325137205,0.057983059325137254,False,42,42,18.877247525677376,12.289461119317194,13.427869979053787,0.38054968287526425
