subject,file,region,block,direction,raw_fit_status,raw_midpoint,behavior_cv_r2,behavior_ridge_alpha,adjusted_fit_status,adjusted_midpoint_usable,adjusted_low,adjusted_amplitude,adjusted_midpoint,adjusted_scale,adjusted_r_squared,adjusted_constant_aic,adjusted_sigmoid_aic,adjusted_delta_aic_sigmoid_minus_constant,adjusted_early_five_mean,adjusted_late_five_mean,adjusted_late_minus_early,adjusted_early_identity_null_q95,adjusted_early_identity_null_p,adjusted_early_spatial_null_q95,adjusted_early_spatial_null_p,adjusted_monotonic_trend_rho,adjusted_monotonic_trend_p,adjusted_n_scores
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,RSC,1,LtoR,detectable_transition,2.553961498631804,0.10255553203959211,1.0,detectable_transition,True,0.13166387956325665,0.11855315009204144,24.16093242273305,4.907828912425269,0.36037702894992674,-211.0277347697444,-222.90279012793727,-11.875055358192867,0.13407285917054665,0.23786946509009893,0.10379660591955228,0.09809847069138308,0.0019960079840319,0.0868551725745706,0.0059880239520958,0.5647279549718576,0.001996007984031936,40
M01,sub-M01_ses-20240313T100000_behavior+ecephys.nwb,RSC,1,RtoL,unresolved_nonmonotonic_or_weak,1.0000000001935927,-0.15151410491835637,1.0,unresolved_nonmonotonic_or_weak,False,0.13608763574782706,0.5272175866281318,39.99999999999979,16.081553099977807,0.42017297730479963,-179.8274054299422,-195.62842369616232,-15.801018266220126,0.16494576252442436,0.37511851402267676,0.2101727514982524,0.08349156582952139,0.0019960079840319,0.07739174597032379,0.0019960079840319,0.6718574108818012,0.001996007984031936,40
M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,CA1,1,LtoR,present_from_first_observed_traversals,1.6860549317036035,-0.05092692847193736,1.0,present_from_first_observed_traversals,False,0.12927803884563227,0.33685430042488196,1.7840866937452857,0.5000000000000001,0.39347914058479383,-317.37805651763176,-340.37899368681514,-23.000937169183373,0.37810940788480885,0.45561252067467856,0.07750311278986971,0.1953622788246863,0.0019960079840319,0.13593579430492217,0.0019960079840319,-0.10234089021501738,0.7964071856287425,58
M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,CA1,1,RtoL,unresolved_nonmonotonic_or_weak,1.0000000000000075,0.22847392795432453,1.0,unresolved_nonmonotonic_or_weak,False,0.15597926270728757,0.37493450128588435,1.000000000189818,6.38407387239087,0.4451073309082264,-301.28473080320776,-329.4456040349807,-28.16087323177294,0.39978504650516516,0.5344671381737016,0.13468209166853645,0.17215965334487418,0.0019960079840319,0.2580660773375475,0.0099800399201596,0.5356362853363684,0.001996007984031936,58
M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,CA3,1,LtoR,present_from_first_observed_traversals,25.974620561667983,-0.2939155304780572,1.0,present_from_first_observed_traversals,False,0.09362835768944118,0.05900097221339904,25.485317369660148,0.5000000000357445,0.1535582212100055,-301.2290733964201,-304.8984771907022,-3.6694037942820614,0.097448707542623,0.11351346803568536,0.016064760493062366,0.07522628376126107,0.0099800399201596,0.07826186249243997,0.0159680638722554,0.30806853486726754,0.015968063872255488,58
M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,CA3,1,RtoL,present_from_first_observed_traversals,34.40345899569272,-0.1646909916290431,1.0,present_from_first_observed_traversals,False,0.2756645279711864,0.0522879810858991,34.62177861358804,0.5000025506574641,0.12216436564727007,-302.7179452088984,-304.2751078428334,-1.5571626339349791,0.30106621575607445,0.32622102248001283,0.025154806723938383,0.15225567859959924,0.0019960079840319,0.13375942414405534,0.0019960079840319,0.1860100279922483,0.08982035928143713,58
M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,RSC,1,LtoR,present_from_first_observed_traversals,1.0000000000000002,0.1893121212525155,1.0,present_from_first_observed_traversals,False,0.1368344904085011,0.06725135463913567,28.24101700851889,0.8153756405906544,0.3736481559551291,-337.9011515301963,-359.03604637605434,-21.13489484585807,0.11052871781161153,0.15333799361175068,0.04280927580013916,0.0690839109815965,0.0039920159680638,0.06635785010244691,0.0039920159680638,0.5001999446307178,0.001996007984031936,58
M01,sub-M01_ses-20240314T100000_behavior+ecephys.nwb,RSC,1,RtoL,present_from_first_observed_traversals,1.0000000000000002,-0.07764484506730263,1.0,present_from_first_observed_traversals,False,0.1521080003452335,0.07323020980660137,57.99999999999987,29.99999999999908,0.03219777410423286,-357.3838877172389,-353.28208414817243,4.101803569066476,0.14484719324210643,0.20798060670064816,0.06313341345854173,0.08336451000243178,0.0019960079840319,0.06399259543676128,0.0019960079840319,0.12596511735211788,0.1656686626746507,58
M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,LtoR,unresolved_nonmonotonic_or_weak,5.5163210381367564,-0.13443305249579973,1.0,unresolved_nonmonotonic_or_weak,False,0.031212522847850317,0.048555709144420395,5.126947580052852,0.5000000039070929,0.09500310877617402,-214.64634916116293,-212.24000489555954,2.406344265603394,0.033193260031920024,0.10172051188105706,0.06852725184913704,0.14768319111015973,0.2714570858283433,0.14436713591399103,0.3093812375249501,0.1747747747747748,0.12974051896207583,36
M02,sub-M02_ses-20240312T100000_behavior+ecephys.nwb,CA1,1,RtoL,unresolved_nonmonotonic_or_weak,34.99999999998537,-0.08911804464136841,1.0,unresolved_nonmonotonic_or_weak,False,0.10384573319977146,0.08659928440137776,27.500673478789995,0.5000000000762642,0.4046182843415298,-201.27676734909838,-213.4261062565475,-12.149338907449135,0.07508537488030424,0.18264282510920496,0.10755745022890072,0.12954904112827184,0.1576846307385229,0.12277760981377894,0.1257485029940119,0.49663865546218494,0.003992015968063872,35
